1,24,M,technician,85711,24_technician
2,53,F,other,94043,53_other
3,23,M,writer,32067,23_writer
4,24,M,technician,43537,24_technician
5,33,F,other,15213,33_other
6,42,M,executive,98101,42_executive
7,57,M,administrator,91344,57_administrator
8,36,M,administrator,05201,36_administrator
9,29,M,student,01002,29_student
10,53,M,lawyer,90703,53_lawyer
11,39,F,other,30329,39_other
12,28,F,other,06405,28_other
13,47,M,educator,29206,47_educator
14,45,M,scientist,55106,45_scientist
15,49,F,educator,97301,49_educator
16,21,M,entertainment,10309,21_entertainment
17,30,M,programmer,06355,30_programmer
18,35,F,other,37212,35_other
19,40,M,librarian,02138,40_librarian
20,42,F,homemaker,95660,42_homemaker
21,26,M,writer,30068,26_writer
22,25,M,writer,40206,25_writer
23,30,F,artist,48197,30_artist
24,21,F,artist,94533,21_artist
25,39,M,engineer,55107,39_engineer
26,49,M,engineer,21044,49_engineer
27,40,F,librarian,30030,40_librarian
28,32,M,writer,55369,32_writer
29,41,M,programmer,94043,41_programmer
30,7,M,student,55436,7_student
31,24,M,artist,10003,24_artist
32,28,F,student,78741,28_student
33,23,M,student,27510,23_student
34,38,F,administrator,42141,38_administrator
35,20,F,homemaker,42459,20_homemaker
36,19,F,student,93117,19_student
37,23,M,student,55105,23_student
38,28,F,other,54467,28_other
39,41,M,entertainment,01040,41_entertainment
40,38,M,scientist,27514,38_scientist
41,33,M,engineer,80525,33_engineer
42,30,M,administrator,17870,30_administrator
43,29,F,librarian,20854,29_librarian
44,26,M,technician,46260,26_technician
45,29,M,programmer,50233,29_programmer
46,27,F,marketing,46538,27_marketing
47,53,M,marketing,07102,53_marketing
48,45,M,administrator,12550,45_administrator
49,23,F,student,76111,23_student
50,21,M,writer,52245,21_writer
51,28,M,educator,16509,28_educator
52,18,F,student,55105,18_student
53,26,M,programmer,55414,26_programmer
54,22,M,executive,66315,22_executive
55,37,M,programmer,01331,37_programmer
56,25,M,librarian,46260,25_librarian
57,16,M,none,84010,16_none
58,27,M,programmer,52246,27_programmer
